,endog_vars,exog_vars,ieps_sin_gas_neto_(mdp)_r,importaciones_neto_(mdp)_r,ing_trib_sin_gasol_neto_(mdp)_r,isr_neto_(mdp)_r,iva_neto_(mdp)_r,model,params,split_date
49,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -90759.80299099255, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -391631.56641122536}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
50,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -19191.0655384548, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -184102.40897210548}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
51,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -27277.421556320274, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 576.0487713343464}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
52,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -126770.1727419293, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -506574.65947245737}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 12)}",2016-07-01
53,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -69887.13387446059, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -254457.80449203053}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",2016-07-01
54,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -89535.15676985425, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -564664.0565810225}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",2016-07-01
55,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -68385.78156688972, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -486770.66859658365}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",2016-07-01
56,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -132375.21104686498, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -480768.87547442806}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (0, 0, 0, 12)}",2016-07-01
57,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -77706.54985658382, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -279748.4671424066}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (0, 0, 1, 12)}",2016-07-01
58,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -39394.589150341926, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -317277.214582874}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 0, 12)}",2016-07-01
